Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Haiti,Central America,Washed / Wet,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,6.83,77.25,825
Mexico,Mexico,Washed / Wet,7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,6.92,77.17,1200
Peru,South America,Washed / Wet,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,77,1200
Mexico,Mexico,Washed / Wet,7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,6.58,76.42,1100
Guatemala,Central America,Washed / Wet,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7,76.33,1310.64
Mexico,Mexico,Washed / Wet,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,76.17,1400
Indonesia,Asia,Natural / Dry,7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,6.67,76.17,3500
Mexico,Mexico,Washed / Wet,7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,6.58,76.08,1250
Honduras,Central America,Natural / Dry,6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,7,76,1350
Philippines,Asia,Washed / Wet,6.83,6.5,6.5,6.92,6.75,7,9.33,10,9.33,6.67,75.83,1000
Guatemala,Central America,Washed / Wet,7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,6.83,75.58,1310.64
Mexico,Mexico,Washed / Wet,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,75.5,1100
Mexico,Mexico,Washed / Wet,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,75.17,1200
Mexico,Mexico,Washed / Wet,7.25,6.83,6.67,7.08,7.17,6.83,10,6.67,10,6.67,75.17,1100
Mexico,Mexico,Washed / Wet,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,6.75,75.17,1280
Mexico,Mexico,Washed / Wet,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,75,850
Mexico,Mexico,Washed / Wet,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,74.92,1500
Mexico,Mexico,Washed / Wet,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,74.83,1250
Mexico,Mexico,Washed / Wet,7.08,7,6.83,7.5,7.33,6.83,8,7.33,10,6.75,74.67,1700
Guatemala,Central America,Washed / Wet,6.5,6.33,6.5,7.5,7.33,6.83,8.67,10,8.67,6,74.33,1310.64
Mexico,Mexico,Washed / Wet,7,6.58,6.67,6.83,7.08,6.83,10,6.67,10,6.67,74.33,1140
Mexico,Mexico,Washed / Wet,6.92,6.42,6.17,7.33,7.25,6.75,10,6.67,10,6.5,74,1200
Mexico,Mexico,Washed / Wet,7.67,7,7.17,7.58,7.33,7.33,10,2.67,10,7.08,73.83,1250
Honduras,Central America,Washed / Wet,7,7.17,6.83,7.17,7,7.17,8,8,8,7.08,73.42,1350
Mexico,Mexico,Washed / Wet,7.08,7.08,6.92,7.08,6.92,6.92,8,8,8,6.92,72.92,1200
Costa Rica,Central America,Washed / Wet,6.33,6.5,6.33,6.83,6.33,6.5,10,6.67,10,6.25,71.75,1200
Mexico,Mexico,Washed / Wet,6.92,6.92,6.92,6.92,7.17,7,10,2.67,10,6.58,71.08,800
Mexico,Mexico,Washed / Wet,6.5,6.67,6.42,7.17,7.33,6.5,8,6,10,6.42,71,1800
Mexico,Mexico,Washed / Wet,6.92,7,6.83,6.92,7.42,6.92,6,6,10,6.75,70.75,1000
Honduras,Central America,Washed / Wet,6.67,6.5,6.17,6.67,6.83,6.17,8,8,8,6.33,69.33,1450
Honduras,Central America,Washed / Wet,7,6.17,6.17,6.67,6.5,6.17,8,8,8,6.5,69.17,1450
Honduras,Central America,Washed / Wet,7,6.33,6.17,6.5,6.67,6.17,8,8,8,6.33,69.17,1450
Mexico,Mexico,Washed / Wet,7.08,6.83,6.25,7.42,7.25,6.75,10,0,10,6.75,68.33,900
Haiti,Central America,Natural / Dry,6.75,6.58,6.42,6.67,7.08,6.67,9.33,6,6,6.42,67.92,350
Nicaragua,Central America,Other,7.25,6.58,6.33,6.25,6.42,6.08,6,6,6,6.17,63.08,1100
Guatemala,Central America,Washed / Wet,7.5,6.67,6.67,7.67,7.33,6.67,8,1.33,1.33,6.67,59.83,1417.32
